"id продукта";"Шифр продукта";"Название продукта";ед.изм.;"Дата расхода";"Ясли 10,5 к-во";"Ясли 10,5 стоимость";"САД 10,5 к-во";"САД 10,5 стоимость";"Сотрудники к-во";"Сотрудники стоимость";"Всего к-во";"Всего стоимость"
129;615279;"Капуста свежая";кг;2020-05-07;0.9;0.29;5.52;1.79;2.64;0.86;9.06;2.94
129;615279;"Капуста свежая";кг;2020-05-06;0.225;0.07;1.9;0.61;0.96;0.32;3.085;1
131;615282;"Лук репчатый";кг;2020-05-06;0.107;0.05;0.903;0.42;0.456;0.21;1.466;0.68
131;615282;"Лук репчатый";кг;2020-05-07;0.343;0.15;1.794;0.84;0.418;0.2;2.555;1.19
131;615282;"Лук репчатый";кг;2020-05-05;0.038;0.01;0.31;0.15;0;0;0.348;0.16
131;615282;"Лук репчатый";кг;2020-05-04;0.499;0.24;3.236;1.56;0.235;0.11;3.97;1.91
132;615284;"Морковь свежая";кг;2020-05-04;1.133;0.33;7.461;2.23;0.524;0.16;9.118;2.72
132;615284;"Морковь свежая";кг;2020-05-05;0.514;0.15;4.579;1.36;0;0;5.093;1.51
132;615284;"Морковь свежая";кг;2020-05-06;1.047;0.31;4.561;1.36;0.638;0.19;6.246;1.86
132;615284;"Морковь свежая";кг;2020-05-07;0.573;0.17;3.354;1;0.585;0.17;4.512;1.34
134|1;615289;"Огурцы соленые (консервированные)";кг;2020-05-04;0.662;0.92;3.347;4.67;1.791;2.5;5.8;8.09
136;615294;Свекла;кг;2020-05-04;0.147;0.05;0.959;0.36;0;0;1.106;0.41
136;615294;Свекла;кг;2020-05-07;0.384;0.14;2.191;0.83;0;0;2.575;0.97
136;615294;Свекла;кг;2020-05-06;0.48;0.18;4.057;1.53;2.05;0.77;6.587;2.48
136;615294;Свекла;кг;2020-05-05;0.384;0.14;2.656;1;0;0;3.04;1.14
137;615205;"Томатная паста";кг;2020-05-06;0.009;0.03;0.076;0.29;0.038;0.15;0.123;0.47
137;615205;"Томатная паста";кг;2020-05-04;0.019;0.07;0.125;0.48;0;0;0.144;0.55
137;615205;"Томатная паста";кг;2020-05-05;0;0;0.002;0;0;0;0.002;0
159;615271;"Зеленый горошек";кг;2020-05-05;0.32;0.6;2.23;4.21;0;0;2.55;4.81
159;615271;"Зеленый горошек";кг;2020-05-07;0.3;0.56;1.825;3.45;0;0;2.125;4.01
159;615271;"Зеленый горошек";кг;2020-05-04;1.752;3.31;13.548;25.59;0;0;15.3;28.9
139|20;6101477;"Батон (Хлеб пшеничный)";кг;2020-05-05;1.228;2.22;8.626;15.55;0;0;9.854;17.77
139|20;6101477;"Батон (Хлеб пшеничный)";кг;2020-05-06;0.658;1.18;5.122;9.24;1.029;1.86;6.809;12.28
139|20;6101477;"Батон (Хлеб пшеничный)";кг;2020-05-07;0.3;0.54;3.45;6.22;0;0;3.75;6.76
